2024-15-08 01:15:52 |       Force | Current Logging Level:  Trace
2024-15-08 01:15:52 | Information | Analyzing the input file(s).
2024-15-08 01:15:52 |       Force |         Input File   :  Input_File_01.csv
2024-15-08 01:15:52 | Information |     File Name Only   :  Input_File_01
2024-15-08 01:15:52 | Information |     File Extension   :  .csv
2024-15-08 01:15:52 | Information | Fully Qualified Path :  C:\Engagements\JesseMcWilliams\CyberArk_PAS_Scripts\PowerShell\Windows Services\Input_File_01.csv
2024-15-08 01:15:52 | Information |          File Size   :  650.00KB
2024-15-08 01:15:52 | Information |       Rows Imported  :  3
2024-15-08 01:15:52 | Information | Total Rows Imported  :  3
2024-15-08 01:15:52 | Information | Sorted & Unique Rows :  3
2024-15-08 01:15:52 | Information | Admin Creds Needed   :  1
2024-15-08 01:15:53 | Information | Service Creds Needed :  3
2024-15-08 01:15:53 | Information | Authenticating to the PVWA.
2024-15-08 01:15:53 |       Debug | Requested Authentication Method:  PKI
2024-15-08 01:15:53 |       Debug | New URI Created:  https://vault.bannermen.com/
2024-15-08 01:15:53 |       Debug | Saving psPAS session.
2024-15-08 01:15:53 |       Debug | Clearing cookies from psPAS session.
2024-15-08 01:15:53 | Information | Getting server admin Account(s).
2024-15-08 01:15:53 | Information | Getting Account Information:  AAA_Local_Test_Accounts_03/SVC_ADM_SRV_01/192.168.184.132
2024-15-08 01:15:54 | Information | 1 Account Found!.  Safe (AAA_Local_Test_Accounts_03) : Address (192.168.184.132) : Username (SVC_ADM_SRV_01)
2024-15-08 01:15:54 |     Verbose | Retrieving Credential for Account (AAA_Local_Test_Accounts_03/SVC_ADM_SRV_01/192.168.184.132) : ID (26_3))
2024-15-08 01:15:55 | Information | Admin Credentials Retrieved (1).
2024-15-08 01:15:55 | Information | Getting service Account(s).
2024-15-08 01:15:55 | Information | Getting Account Information:  AAA_Local_Test_Accounts_02/SVC_Test_01/192.168.184.132
2024-15-08 01:15:55 | Information | 1 Account Found!.  Safe (AAA_Local_Test_Accounts_02) : Address (192.168.184.132) : Username (SVC_Test_01)
2024-15-08 01:15:56 | Information | Getting Account Information:  AAA_Local_Test_Accounts_02/SVC_Test_02/192.168.184.132
2024-15-08 01:15:56 | Information | 1 Account Found!.  Safe (AAA_Local_Test_Accounts_02) : Address (192.168.184.132) : Username (SVC_Test_02)
2024-15-08 01:15:56 | Information | Getting Account Information:  AAA_Local_Test_Accounts_02/SVC_Test_03/192.168.184.132
2024-15-08 01:15:56 | Information | 1 Account Found!.  Safe (AAA_Local_Test_Accounts_02) : Address (192.168.184.132) : Username (SVC_Test_03)
2024-15-08 01:15:57 | Information | Service Account(s) Retrieved (3).
2024-15-08 01:15:57 | Information | Stopping services.
2024-15-08 01:15:57 | Information | Rotating the account password(s).
2024-15-08 01:15:57 | Information | Set Account Password Rotation : Success (True) : Account ID (25_3) : Message () : Account (AAA_Local_Test_Accounts_02/SVC_Test_01/192.168.184.132)
2024-15-08 01:15:57 | Information | Set Account Password Rotation : Success (True) : Account ID (25_5) : Message () : Account (AAA_Local_Test_Accounts_02/SVC_Test_03/192.168.184.132)
2024-15-08 01:15:58 | Information | Set Account Password Rotation : Success (True) : Account ID (25_4) : Message () : Account (AAA_Local_Test_Accounts_02/SVC_Test_02/192.168.184.132)
2024-15-08 01:16:06 | Information | Waiting for the account password(s) to be rotated.
